Operator Clock Number,Heat Number,Sequence Number,LEW Grade Index,USS Grade ,Treatment Start Date,Treatment Start Time,Total Cycle Time,Hot Metal Weight,HM WGT TONS,Hot Metal Start Temp,Hot Metal Silicon,Start Sulfur,Aim Sulfur,Actual Aim Sulfur,Final Sulfur,0,Ordered Mg,Actual Mg,MG Kg/T,$ mag ,Ordered Lime,Actual Lime,lime Kg/T,$ Lime ,TOTAL $,$ / TON,$/T/P,kg/t/p,,Injection Cycle Time,RATIO,Reshot Final Sulfur,Reshot Ordered Mg,Reshot Actual Mg,Reshot Ordered Lime,Reshot Actual Lime,Reshot Cycle Time,"System ""A"" Usage","System ""B"" Usage","Lance ""A"" Used","Lance ""A"" ID","Lance ""A"" Minutes","Lance ""B"" Used","Lance ""B"" ID","Lance ""B"" Minutes",Skim Weight,SKIM %,Ladle (LD) Analysis Sulfur,RHOB (R) Sulfur,LTS (L) Sulfur,Caster Final (F20) Sulfur,,,,,mag price,lime price
786000000,756345,102,DS0006A,FK41,07/02/2009,,00:21:34,194900,195,1426,0.837,0.027,0.004,0.004,0.005,0,104,103,0.5285,$513.7949,281,265,1.36,$88.1125,$601.9074,$3.0883,$0.1404,,,00:00:00,2.57,,,,,,00:00:00,0,0,0,,00:00:00,0,,00:00:00,5060,2.60%,0.0067,,0.0074,0.0079,,,,,,
786000000,801404,161,DS0508E,KL22,08/02/2009,,00:24:39,205500,206,1323,1.005,0.032,0.004,0.004,0.003,0,120,119,0.5791,$593.6077,324,308,1.499,$102.4100,$696.0177,$3.3869,$0.1168,,,00:00:00,2.59,,,,,,00:00:00,0,0,0,,00:00:00,0,,00:00:00,6840,3.33%,0.0047,,0.0065,0.0068,,,,,,
786000000,756430,40,DS0001N,,11/02/2009,20:46:16,00:19:43,210500,211,1361,0.833,0.034,0.004,0.004,0.003,0,128,128,0.6081,$638.5024,346,337,1.601,$112.0525,$750.5549,$3.5656,$0.1150,,,00:05:24,2.63,,,,,,00:00:00,1,1,1,40,11:46:00,1,36,07:17:00,4170,1.98%,0.0068,0.007,,0.0071,,,,,,
786000000,756432,42,DS0001N,,11/02/2009,22:24:19,00:24:24,212800,213,1379,0.696,0.039,0.004,0.004,0.001,1,140,140,0.6579,$698.3620,378,377,1.772,$125.3525,$823.7145,$3.8708,$0.1019,,,00:05:56,2.69,,,,,,00:00:00,1,1,1,40,11:56:00,1,36,07:28:00,6300,2.96%,0.0071,0.0071,,0.0073,,,,,,
786000000,756434,44,DS0001K,,12/02/2009,00:54:40,00:21:11,211700,212,1358,0.904,0.044,0.004,0.004,0.003,0,149,149,0.7038,$743.2567,402,409,1.932,$135.9925,$879.2492,$4.1533,$0.1013,,,00:06:32,2.74,,,,,,00:00:00,1,1,1,40,12:08:00,1,36,07:40:00,5390,2.55%,0.0065,0.0064,,0.0065,,,,,,
786000000,756453,29,DS0001N,,12/02/2009,18:08:59,00:29:05,224800,225,1326,0.453,0.07,0.004,0.004,0.004,0,217,217,0.9653,$1,82.4611,586,567,2.522,$188.5275,$1,270.9886,$5.6539,$0.0857,,,00:08:44,2.61,,,,,,00:00:00,1,1,1,40,14:50:00,1,36,10:30:00,6620,2.94%,0.0081,0.0084,,0.0086,,,,
786000000,756455,41,DS0001N,,12/02/2009,19:41:08,00:25:04,223900,224,1337,0.369,0.093,0.004,0.004,0.005,0,267,266,1.188,$1,326.8878,721,706,3.153,$234.7450,$1,561.6328,$6.9747,$0.0793,,,00:10:38,2.65,,,,,,00:00:00,1,1,1,40,15:10:00,1,36,10:51:00,6490,2.90%,0.0079,0.0081,,0.0079,,,,
786000000,801473,103,DS1315C,NA28,16/02/2009,06:56:22,00:22:37,208100,208,1398,0.972,0.031,0.004,0.004,0.003,0,120,119,0.5718,$593.6077,324,313,1.504,$104.0725,$697.6802,$3.3526,$0.1197,,,00:05:02,2.63,,,,,,00:00:00,1,1,1,41,01:32:00,1,36,16:06:00,6130,2.95%,0.007,0.0099,0.0099,0.0095,,,,,,
786000000,801475,105,DS1315C,NA28,16/02/2009,10:18:48,00:23:38,207500,208,1391,0.991,0.045,0.004,0.004,0.003,0,149,148,0.7133,$738.2684,402,378,1.822,$125.6850,$863.9534,$4.1636,$0.0991,,,00:06:08,2.55,,,,,,00:00:00,1,1,1,41,01:43:00,1,36,16:18:00,6260,3.02%,0.0062,0.0064,,0.0069,,,,,,
786000000,756498,107,DS1315C,NA28,16/02/2009,11:55:01,00:12:34,212200,212,1350,1.096,0.03,0.004,0.004,0.003,0,120,120,0.5655,$598.5960,324,329,1.55,$109.3925,$707.9885,$3.3364,$0.1236,,,00:05:12,2.74,,,,,,00:00:00,1,1,1,41,01:53:00,1,36,16:28:00,6200,2.92%,0.0048,,0.0051,0.0054,,,,,,
786000000,801513,47,DS0810T,KY12,20/02/2009,19:06:37,00:18:12,200700,201,1400,1.245,0.017,0.004,0.004,0.004,0,88,88,0.4385,$438.9704,238,244,1.216,$81.1300,$520.1004,$2.5914,$0.1993,,,00:03:54,2.77,,,,,,00:00:00,1,1,1,41,09:34:00,1,36,24:34:00,4370,2.18%,0.0049,,0.0044,0.0043,,,,,,
786000000,756552,16,DS1721C,SK15,20/02/2009,22:30:23,00:19:09,222200,222,1361,0.577,0.025,0.004,0.004,0.003,0,114,114,0.5131,$568.6662,308,307,1.382,$102.0775,$670.7437,$3.0186,$0.1372,,,00:04:58,2.69,,,,,,00:00:00,1,1,1,41,09:59:00,1,36,24:59:00,4020,1.81%,0.0052,,0.0054,0.0056,,,,,,
786000000,756554,18,DS1721C,SK15,20/02/2009,23:52:41,00:23:39,213700,214,1362,0.802,0.023,0.004,0.004,0.004,0,107,107,0.5007,$533.7481,289,298,1.394,$99.0850,$632.8331,$2.9613,$0.1559,,,00:04:44,2.79,,,,,,00:00:00,1,1,1,41,10:08:00,1,36,25:08:00,6270,2.93%,0.0057,,0.0058,0.0061,,,,,,
786000000,756557,67,DS1721C,SK15,21/02/2009,02:29:05,00:20:27,208400,208,1400,0.718,0.027,0.004,0.004,0.004,0,112,112,0.5374,$558.6896,302,299,1.435,$99.4175,$658.1071,$3.1579,$0.1373,,,00:04:48,2.67,,,,,,00:00:00,1,1,1,41,10:23:00,1,36,25:22:00,5160,2.48%,0.0056,0.0068,0.0067,0.0065,,,,,,
786000000,801531,125,DS0508A,KL16,21/02/2009,19:53:23,00:20:35,206500,207,1377,0.753,0.026,0.004,0.004,0.004,0,109,109,0.5278,$543.7247,294,290,1.404,$96.4250,$640.1497,$3.1000,$0.1409,,,00:04:42,2.66,,,,,,00:00:00,1,1,1,41,11:22:00,1,36,26:23:00,6690,3.24%,0.0063,0.0063,0.0056,0.007,,,,,,
786000000,801533,10,DS0508A,KL16,21/02/2009,21:25:26,00:25:38,204500,205,1370,0.929,0.023,0.004,0.004,0.003,0,101,101,0.4939,$503.8183,273,274,1.34,$91.1050,$594.9233,$2.9092,$0.1455,,,00:04:21,2.71,,,,,,00:00:00,1,1,1,41,11:31:00,1,36,26:32:00,4460,2.18%,0.0048,0.0043,0.0036,0.004,,,,,,
786000000,756564,5,DS0508A,KL16,21/02/2009,23:16:21,00:25:51,204000,204,1414,0.927,0.023,0.004,0.004,0.005,0,101,101,0.4951,$503.8183,273,271,1.328,$90.1075,$593.9258,$2.9114,$0.1617,,,00:04:19,2.68,,,,,,00:00:00,1,1,1,41,11:39:00,1,36,26:40:00,6090,2.99%,0.0048,0.0049,0.004,0.004,,,,,,
786000000,801555,98,DS0507I,FK49,25/02/2009,06:52:44,00:32:15,219300,219,1323,0.405,0.102,0.004,0.004,0.003,0,281,281,1.2813,$1,401.7123,759,694,3.165,$230.7550,$1,632.4673,$7.4440,$0.0752,,,00:11:13,2.47,,,,,,00:00:00,1,1,1,41,21:59:00,1,27,08:12:00,7640,3.48%,0.0078,,0.0074,0.007,,,,
786000000,756633,104,DS0507I,FK49,25/02/2009,08:19:08,00:30:01,217400,217,1360,0.328,0.093,0.004,0.004,0.004,0,259,259,1.1914,$1,291.9697,699,620,2.852,$206.1500,$1,498.1197,$6.8911,$0.0774,,,00:10:09,2.39,,,,,,00:00:00,1,1,1,41,22:19:00,1,27,08:32:00,7750,3.56%,0.0056,,0.0049,0.0045,,,,
786000000,756640,68,DS0005G,FC02,25/02/2009,14:52:37,00:24:11,210800,211,1381,0.386,0.067,0.014,0.004,0.004,0,197,198,0.9393,$987.6834,532,473,2.244,$157.2725,$1,144.9559,$5.4315,$0.0862,,,00:07:59,2.39,,,,,,00:00:00,1,1,1,41,23:38:00,1,27,09:49:00,6350,3.01%,0.0064,,0.0083,0.0091,,,,,
786000000,756642,70,DS0005C,FB14,25/02/2009,16:39:58,00:28:55,227400,227,1290,0.362,0.075,0.01,0.004,0.001,1,230,230,1.0114,$1,147.309,621,548,2.41,$182.2100,$1,329.519,$5.8466,$0.0790,,,00:09:57,2.38,,,,,,00:00:00,1,1,1,41,23:55:00,1,27,10:06:00,7670,3.37%,0.0072,,0.0077,0.0078,,,,
786000000,756659,118,DS0001R,AM08,26/02/2009,09:00:29,00:48:03,229200,229,1325,0.256,0.104,0.004,0.004,0.002,0,298,298,1.3002,$1,486.5134,805,738,3.22,$245.3850,$1,731.8984,$7.5563,$0.0741,,,00:11:58,2.48,,,,,,00:00:00,1,1,1,41,25:59:00,1,27,12:10:00,6310,2.75%,0.0053,0.0055,,0.0064,,,,
786000000,756661,120,DS0001R,AM08,26/02/2009,10:26:01,00:27:44,234500,235,1278,0.258,0.099,0.004,0.004,0.002,0,293,292,1.2452,$1,456.5836,791,722,3.079,$240.0650,$1,696.6486,$7.2352,$0.0746,,,00:11:47,2.47,,,,,,00:00:00,1,1,1,41,26:22:00,1,27,12:33:00,8440,3.60%,0.0056,0.0056,,0.0057,,,,
786000000,756663,122,DS0001R,AM08,26/02/2009,12:11:16,00:31:34,237700,238,1309,0.216,0.087,0.004,0.004,0.003,0,269,270,1.1359,$1,346.841,726,599,2.52,$199.1675,$1,546.0085,$6.5040,$0.0774,,,00:10:42,2.22,,,,,,00:00:00,1,1,1,41,26:44:00,1,27,12:55:00,7880,3.32%,0.0051,0.0053,,0.0053,,,,
786000000,756585,9,DS0001F,AJ04,22/02/2009,18:45:17,00:24:15,213700,214,1352,0.684,0.057,0.006,0.006,0.005,0,157,158,0.7394,$788.1514,424,411,1.923,$136.6575,$924.8089,$4.3276,$0.0832,,,00:06:34,2.6,,,,,,00:00:00,1,1,1,41,13:38:00,1,36,28:37:00,5910,2.77%,0.0062,0.0065,,0.0064,,,,,,
786000000,756587,11,DS0001F,AJ04,22/02/2009,20:06:26,00:23:40,220400,220,1364,0.442,0.063,0.006,0.006,0.005,0,174,174,0.7895,$867.9642,470,455,2.064,$151.2875,$1,19.2517,$4.6246,$0.0797,,,00:07:08,2.61,,,,,,00:00:00,1,1,1,41,13:51:00,1,27,00:06:00,5160,2.34%,0.006,0.0058,,0.0061,,,,,
786000000,756589,13,DS0001F,AJ04,22/02/2009,21:39:50,00:24:59,217200,217,1366,0.415,0.064,0.006,0.006,0.006,0,174,174,0.8011,$867.9642,470,456,2.099,$151.6200,$1,19.5842,$4.6942,$0.0809,,,00:07:08,2.62,,,,,,00:00:00,1,1,1,41,14:04:00,1,27,00:20:00,4690,2.16%,0.0055,0.0057,,0.006,,,,,
786000000,756666,57,DS0001F,AJ04,26/02/2009,15:58:43,00:29:05,237700,238,1287,0.407,0.062,0.006,0.006,0.003,1,187,187,0.7867,$932.8121,505,454,1.91,$150.9550,$1,83.7671,$4.5594,$0.0773,,,00:07:38,2.43,,,,,,00:00:00,1,1,1,41,00:24:00,1,27,13:20:00,7420,3.12%,0.0047,0.0051,,0.0051,,,,,
786000000,756668,130,DS0001F,AJ04,26/02/2009,17:24:26,00:27:37,228700,229,1323,0.462,0.066,0.006,0.006,0.004,0,189,189,0.8264,$942.7887,510,444,1.941,$147.6300,$1,90.4187,$4.7679,$0.0769,,,00:07:40,2.35,,,,,,00:00:00,1,1,1,41,00:39:00,1,27,13:35:00,6660,2.91%,0.0056,0.0058,,0.0058,,,,,
786000000,801381,94,DS0005C,FB14,06/02/2009,,00:25:00,209600,210,1353,1.285,0.018,0.01,0.008,0.008,0,60,58,0.2767,$289.3214,162,150,0.716,$49.8750,$339.1964,$1.6183,$0.1618,,,00:00:00,2.59,,,,,,00:00:00,0,0,0,,00:00:00,0,,00:00:00,4580,2.19%,0.0073,,0.0087,0.0096,,,,,,
786000000,801357,107,DS1721A,SK17,03/02/2009,18:09:20,00:23:03,215500,216,1346,1.101,0.017,0.01,0.01,0.004,1,49,48,0.2227,$239.4384,132,138,0.64,$45.8850,$285.3234,$1.3240,$0.1018,,,00:02:22,2.88,,,,,,00:00:00,1,1,1,37,09:55:00,1,39,07:22:00,5540,2.57%,0.0072,,0.0075,0.007,,,,,,
786000000,756323,36,DS0811A,KC05,03/02/2009,21:41:33,00:27:13,200700,201,1375,0.865,0.025,0.014,0.01,0.012,0,61,60,0.299,$299.2980,165,160,0.797,$53.2000,$352.4980,$1.7563,$0.1351,,,00:02:44,2.67,,,,,,00:00:00,1,1,1,37,10:06:00,1,39,07:34:00,4520,2.25%,0.0092,,0.0115,0.0114,,,,,,
786000000,756325,38,DS0811A,KC05,03/02/2009,22:59:37,00:20:45,200400,200,1389,0.789,0.022,0.014,0.01,0.009,0,56,56,0.2794,$279.3448,151,163,0.813,$54.1975,$333.5423,$1.6644,$0.1280,,,00:02:40,2.91,,,,,,00:00:00,1,1,1,37,10:12:00,1,39,07:39:00,4760,2.38%,0.0095,,0.0108,0.0117,,,,,,
786000000,801383,96,DS0810B,KA05,06/02/2009,,00:25:19,217000,217,1331,0.972,0.034,0.01,0.01,0.01,0,86,84,0.3871,$419.0172,232,220,1.014,$73.1500,$492.1672,$2.2681,$0.0945,,,00:00:00,2.62,,,,,,00:00:00,0,0,0,,00:00:00,0,,00:00:00,5280,2.43%,0.0104,0.0109,,0.0112,,,,,,
786000000,801385,102,DS0002J,DA01,06/02/2009,,00:25:39,216300,216,1361,0.89,0.035,0.01,0.01,0.009,0,87,88,0.4068,$438.9704,235,240,1.11,$79.8000,$518.7704,$2.3984,$0.0922,,,00:00:00,2.73,,,,,,00:00:00,0,0,0,,00:00:00,0,,00:00:00,5920,2.74%,0.0096,0.0098,,0.0096,,,,,,
786000000,801387,1,DS0005C,FB14,06/02/2009,,00:18:58,211400,211,1366,1.1,0.016,0.01,0.01,0.01,0,44,45,0.2129,$224.4735,119,130,0.615,$43.2250,$267.6985,$1.2663,$0.2111,,,00:00:00,2.89,,,,,,00:00:00,0,0,0,,00:00:00,0,,00:00:00,4460,2.11%,0.0083,0.0097,,0.0098,,,,,,
786000000,756439,10,DS0006C,FB15,12/02/2009,04:40:48,00:22:33,216500,217,1334,0.405,0.074,0.01,0.01,0.008,0,170,169,0.7806,$843.0227,459,474,2.189,$157.6050,$1,0.6277,$4.6218,$0.0700,,,00:07:28,2.8,,,,,,00:00:00,1,1,1,40,12:44:00,1,36,08:17:00,6680,3.09%,0.0059,,0.008,0.0079,,,,,
786000000,756510,80,DS1721A,SK17,17/02/2009,06:24:41,00:23:03,207700,208,1356,0.86,0.034,0.01,0.01,0.009,0,81,81,0.39,$404.0523,219,207,0.997,$68.8275,$472.8798,$2.2767,$0.0911,,,00:03:38,2.56,,,,,,00:00:00,1,1,1,41,03:00:00,1,36,17:32:00,5590,2.69%,0.0056,0.0064,,0.0076,,,,,,
786000000,756512,5,DS1721A,SK17,17/02/2009,07:50:37,00:24:24,205400,205,1410,0.706,0.038,0.01,0.01,0.008,0,89,88,0.4284,$438.9704,240,236,1.149,$78.4700,$517.4404,$2.5192,$0.0840,,,00:03:54,2.68,,,,,,00:00:00,1,1,1,41,03:07:00,1,36,17:40:00,4550,2.22%,0.007,,0.009,0.0086,,,,,,
786000000,756514,118,DS0005C,FB14,17/02/2009,09:14:32,00:25:19,201100,201,1387,0.909,0.038,0.01,0.01,0.009,0,87,86,0.4276,$428.9938,235,251,1.248,$83.4575,$512.4513,$2.5482,$0.0879,,,00:03:56,2.92,,,,,,00:00:00,1,1,1,41,03:16:00,1,36,17:48:00,5080,2.53%,0.0099,,0.0108,0.0102,,,,,,
786000000,756516,120,DS0005C,FB14,17/02/2009,10:44:04,00:21:38,201400,201,1395,0.63,0.067,0.01,0.01,0.008,0,144,144,0.715,$718.3152,389,403,2.001,$133.9975,$852.3127,$4.2319,$0.0717,,,00:06:05,2.8,,,,,,00:00:00,1,1,1,41,03:27:00,1,36,17:59:00,5450,2.71%,0.0088,,0.0102,0.0111,,,,,,
786000000,801517,62,DS0005E,FA29,21/02/2009,04:20:35,00:16:05,212600,213,1355,0.607,0.023,0.01,0.01,0.009,0,60,60,0.2822,$299.2980,162,161,0.757,$53.5325,$352.8305,$1.6596,$0.1185,,,00:02:48,2.68,,,,,,00:00:00,1,1,1,41,10:28:00,1,36,25:28:00,5080,2.39%,0.0083,,0.0097,0.011,,,,,,
786000000,756558,121,DS0005E,FA29,21/02/2009,06:02:12,00:15:37,210300,210,1376,0.57,0.026,0.01,0.01,0.009,0,66,66,0.3138,$329.2278,178,177,0.842,$58.8525,$388.0803,$1.8454,$0.1086,,,00:03:04,2.68,,,,,,00:00:00,1,1,1,41,10:33:00,1,36,25:33:00,5200,2.47%,0.0069,,0.0083,0.0084,,,,,,
786000000,801528,53,DS0005C,FB14,21/02/2009,17:48:08,00:25:33,198900,199,1386,0.867,0.031,0.01,0.01,0.013,1,72,72,0.362,$359.1576,194,192,0.965,$63.8400,$422.9976,$2.1267,$0.1181,,,00:03:18,2.67,,,,,,00:00:00,1,1,1,41,11:12:00,1,36,26:13:00,4810,2.42%,0.0093,,0.0105,0.011,,,,,,
786000000,801529,55,DS0005C,FB14,21/02/2009,18:34:24,00:29:33,200800,201,1376,0.934,0.029,0.01,0.01,0.002,1,69,69,0.3436,$344.1927,186,191,0.951,$63.5075,$407.7002,$2.0304,$0.0752,,,00:03:10,2.77,,,,,,00:00:00,1,1,1,41,11:15:00,1,36,26:16:00,7450,3.71%,0.0098,,0.0111,0.0118,,,,,,
786000000,756567,8,DS0608Y,KA08,22/02/2009,01:37:51,00:17:42,190300,190,1438,1.005,0.035,0.01,0.01,0.01,0,77,77,0.4046,$384.0991,208,208,1.093,$69.1600,$453.2591,$2.3818,$0.0953,,,00:03:28,2.7,,,,,,00:00:00,1,1,1,41,11:50:00,1,36,26:51:00,4990,2.62%,0.0078,,0.0092,0.01,,,,,,
786000000,756569,11,DS0608Y,KA08,22/02/2009,03:03:54,00:24:59,203700,204,1365,1.06,0.037,0.01,0.01,0.01,0,86,86,0.4222,$428.9938,232,231,1.134,$76.8075,$505.8013,$2.4831,$0.0920,,,00:03:52,2.69,,,,,,00:00:00,1,1,1,41,11:58:00,1,36,26:58:00,6070,2.98%,0.0068,,0.0096,0.0094,,,,,,
786000000,801535,20,DS0608Y,KA08,22/02/2009,05:00:55,00:18:39,202700,203,1397,0.661,0.044,0.01,0.01,0.009,0,99,100,0.4933,$498.8300,267,266,1.312,$88.4450,$587.2750,$2.8973,$0.0828,,,00:04:18,2.66,,,,,,00:00:00,1,1,1,41,12:06:00,1,36,27:07:00,6940,3.42%,0.0096,,0.0115,0.0121,,,,,,
786000000,756591,40,DS0005C,FB14,22/02/2009,23:33:13,00:19:15,216500,217,1327,0.43,0.064,0.01,0.01,0.009,0,149,149,0.6882,$743.2567,402,394,1.82,$131.0050,$874.2617,$4.0382,$0.0734,,,00:06:14,2.64,,,,,,00:00:00,1,1,1,41,14:17:00,1,27,00:33:00,8390,3.88%,0.0063,,0.0071,0.0076,,,,,,
786000000,756596,45,DS0005C,FB14,23/02/2009,03:18:17,00:37:42,226300,226,1312,0.335,0.113,0.01,0.01,0.007,1,264,263,1.1622,$1,311.9229,713,664,2.934,$220.7800,$1,532.7029,$6.7729,$0.0639,,,00:10:29,2.52,,,,,,00:00:00,1,1,1,41,14:58:00,1,27,01:15:00,7640,3.38%,0.0056,,0.0069,0.0074,,,,
786000000,756598,47,DS0005C,FB14,23/02/2009,05:23:53,00:31:42,221100,221,1310,0.282,0.091,0.01,0.01,0.009,0,210,210,0.9498,$1,47.543,567,525,2.374,$174.5625,$1,222.1055,$5.5274,$0.0674,,,00:08:34,2.5,,,,,,00:00:00,1,1,1,41,15:17:00,1,27,01:34:00,7310,3.31%,0.0069,,0.0076,0.008,,,,
786000000,756464,67,DS0004B,FA05,13/02/2009,04:53:48,00:21:02,202200,202,1353,0.908,0.029,0.014,0.012,0.011,,61,61,0.3017,$304.2863,165,167,0.826,$55.5275,$359.8138,$1.7795,$0.0989,,,00:02:58,2.74,,,,,,00:00:00,1,1,1,40,15:53:00,1,36,11:36:00,4710,2.33%,0.0093,,0.0101,0.0107,,,,,,
786000000,801379,92,DS0005A,FA84,06/02/2009,,00:14:35,215900,216,1273,1.488,0.019,0.014,0.014,0.015,0,40,38,0.176,$189.5554,108,101,0.468,$33.5825,$223.1379,$1.0335,$0.2584,,,00:00:00,2.66,,,,,,00:00:00,0,0,0,,00:00:00,0,,00:00:00,7820,3.62%,0.0119,0.013,,0.0142,,,,,,
786000000,756459,45,DS0005A,FA84,12/02/2009,22:49:35,00:23:19,216700,217,1273,0.64,0.067,0.014,0.014,0.011,1,142,142,0.6553,$708.3386,383,376,1.735,$125.0200,$833.3586,$3.8457,$0.0687,,,00:05:58,2.65,,,,,,00:00:00,1,1,1,40,15:36:00,1,36,11:17:00,6860,3.17%,0.0087,0.0104,,0.0108,,,,,,
786000000,756593,42,DS0005G,FC02,23/02/2009,01:06:55,00:34:46,216200,216,1343,0.387,0.103,0.014,0.014,0.005,1,218,218,1.0083,$1,87.4494,589,564,2.609,$187.5300,$1,274.9794,$5.8972,$0.0602,,,00:08:57,2.59,,,,,,00:00:00,1,1,1,41,14:33:00,1,27,00:48:00,7460,3.45%,0.0052,,0.0068,0.007,,,,
786000000,756644,72,DS0005S,FA86,25/02/2009,18:07:56,00:26:16,218600,219,1313,0.405,0.079,0.014,0.014,0.007,1,169,168,0.7685,$838.0344,456,394,1.802,$131.0050,$969.0394,$4.4329,$0.0616,,,00:06:56,2.35,,,,,,00:00:00,1,1,1,41,24:10:00,1,27,10:19:00,7310,3.34%,0.0081,,0.0098,0.0109,,,,,,
786000000,756314,12,DS0005C,FB14,02/02/2009,,00:20:24,198900,199,1317,1.663,0.011,0.01,,,,,,,,,,,,,,,,,00:00:00,,,,,,,00:00:00,0,0,0,,00:00:00,0,,00:00:00,3270,1.64%,0.0065,0.0084,,0.0093,,,,,,
909000000,756340,100,DS2629B,SJ13,07/02/2009,,00:23:55,219500,220,1432,0.751,0.019,0.001,0.001,0.001,0,228,229,1.0433,$1,142.3207,616,614,2.797,$204.1550,$1,346.4757,$6.1343,$0.3408,,,00:00:00,2.68,,,,,,00:00:00,0,0,0,,00:00:00,0,,00:00:00,6180,2.82%,0.0028,0.0024,0.0023,0.0021,,,,
909000000,756338,98,DS2629B,SJ13,07/02/2009,,00:26:43,218100,218,1420,0.815,0.029,0.002,0.001,0.002,0,226,226,1.0362,$1,127.3558,610,588,2.696,$195.5100,$1,322.8658,$6.0654,$0.2246,,,00:00:00,2.6,,,,,,00:00:00,0,0,0,,00:00:00,0,,00:00:00,6580,3.02%,0.0031,0.0028,0.0024,0.0023,,,,
909000000,756529,76,DS0406J,,18/02/2009,09:56:00,00:30:09,221800,222,1337,0.58,0.032,0.002,0.001,0.001,0,237,236,1.064,$1,177.2388,640,735,3.314,$244.3875,$1,421.6263,$6.4095,$0.2068,,,00:12:18,3.11,,,,,,00:00:00,1,1,1,41,05:56:00,1,36,20:52:00,6190,2.79%,0.0033,0.0034,0.0029,0.0025,,,,
909000000,801514,13,DS0608J,KM78,20/02/2009,19:51:53,00:24:47,200700,201,1414,1.038,0.032,0.001,0.001,0.002,0,213,212,1.0563,$1,57.5196,575,565,2.815,$187.8625,$1,245.3821,$6.2052,$0.2068,,,00:08:33,2.67,,,,,,00:00:00,1,1,1,41,09:42:00,1,36,24:42:00,5690,2.84%,0.0036,0.0021,0.0017,0.0018,,,,
909000000,756527,56,DS0406J,,18/02/2009,07:53:17,00:38:14,232200,232,1282,0.592,0.039,0.002,0.001,0.002,0,263,261,1.124,$1,301.9463,710,758,3.264,$252.0350,$1,553.9813,$6.6924,$0.1809,,,00:12:29,2.9,,,,,,00:00:00,1,1,1,41,05:32:00,1,36,20:29:00,8280,3.57%,0.0032,0.003,0.0027,0.0026,,,,
909000000,756521,12,DS0006H,,17/02/2009,16:49:08,00:29:54,224400,224,1349,0.514,0.078,0.002,0.001,0.003,0,342,342,1.5241,$1,705.9986,923,882,3.93,$293.2650,$1,999.2636,$8.9094,$0.1188,,,00:13:31,2.58,,,,,,00:00:00,1,1,1,41,04:24:00,1,36,18:57:00,5720,2.55%,0.0028,0.0025,0.0027,0.0027,,,,
909000000,756317,14,DS0507L,FK46,02/02/2009,19:57:23,00:00:02,213500,214,1316,1.6,0.011,0.004,0.002,0.002,0,119,119,0.5574,$593.6077,321,308,1.443,$102.4100,$696.0177,$3.2600,$0.3622,,,00:05:00,2.59,,,,,,00:00:00,1,1,1,37,08:33:00,1,39,06:02:00,5980,2.80%,0.0044,,0.0054,0.0058,,,,,,
909000000,801342,18,DS0508A,KL16,03/02/2009,00:59:22,00:33:26,207900,208,1350,1.365,0.012,0.004,0.002,0.002,0,126,126,0.6061,$628.5258,340,330,1.587,$109.7250,$738.2508,$3.5510,$0.3551,,,00:05:12,2.62,,,,,,00:00:00,1,1,1,37,08:53:00,1,39,06:21:00,5360,2.58%,0.0041,0.004,0.0036,0.0035,,,,,,
909000000,756319,16,DS0508A,KL16,02/02/2009,23:21:44,00:22:45,201200,201,1361,1.304,0.016,0.004,0.002,0.002,0,129,128,0.6362,$638.5024,348,325,1.615,$108.0625,$746.5649,$3.7106,$0.2650,,,00:05:16,2.54,,,,,,00:00:00,1,1,1,37,08:43:00,1,39,06:11:00,5510,2.74%,0.0057,0.0048,0.0044,0.0046,,,,,,
909000000,756636,107,DS0507I,FK49,25/02/2009,11:12:30,00:33:29,226400,226,1331,0.423,0.085,0.004,0.002,0.002,0,302,302,1.3339,$1,506.4666,815,734,3.242,$244.0550,$1,750.5216,$7.7320,$0.0932,,,00:12:49,2.43,,,,,,00:00:00,1,1,1,41,22:57:00,1,27,09:08:00,6720,2.97%,0.0053,,0.0046,0.0058,,,,
909000000,756634,105,DS0507I,FK49,25/02/2009,09:26:46,00:34:21,236000,236,1263,0.363,0.105,0.004,0.002,0.001,0,362,362,1.5339,$1,805.7646,977,850,3.602,$282.6250,$2,88.3896,$8.8491,$0.0851,,,00:14:12,2.35,,,,,,00:00:00,1,1,1,41,22:33:00,1,27,08:46:00,8250,3.50%,0.0043,,0.0043,0.0051,,,,
909000000,756331,44,DS0811C,KA29,04/02/2009,03:34:39,00:21:52,188500,189,1447,1.047,0.021,0.004,0.003,0.005,0,109,108,0.5729,$538.7364,294,310,1.645,$103.0750,$641.8114,$3.4048,$0.2128,,,00:04:46,2.87,,,,,,00:00:00,1,1,1,37,10:34:00,1,39,08:01:00,4140,2.20%,0.0076,,0.0082,0.0084,,,,,,
909000000,756333,105,DS0607B,KL15,04/02/2009,05:05:43,00:24:07,196700,197,1408,0.907,0.024,0.004,0.003,0.004,0,119,119,0.605,$593.6077,321,317,1.612,$105.4025,$699.0102,$3.5537,$0.1777,,,00:04:56,2.66,,,,,,00:00:00,1,1,1,37,10:43:00,1,39,08:11:00,3590,1.83%,0.0059,,0.0075,0.0062,,,,,,
